FID,geom,nid,kind,street,plz,city,description,created_at,url
MRN_mundraub_4326_Point.103,POINT (8.2801969 49.1657722),116121,Apfel,Bellheimer Weg,76761,Rülzheim,Mehrere baume,2023-07-22 20:46:00,https://mundraub.org/node/116121
MRN_mundraub_4326_Point.104,POINT (8.227984 49.1661898),116251,Birne,Ottersheimer Weg,76863,Herxheim bei Landau/Pfalz,Viele unterschiedliche Obstbäume hier,2023-07-26 19:38:00,https://mundraub.org/node/116251
MRN_mundraub_4326_Point.105,POINT (8.2801066 49.1663395),116120,Birne,Bellheimer Weg,76761,Rülzheim,1x,2023-07-22 20:43:00,https://mundraub.org/node/116120
MRN_mundraub_4326_Point.106,POINT (8.2278415 49.1666337),116252,Apfel,Ottersheimer Weg,76863,Herxheim bei Landau/Pfalz,Diverse Obstbäumen,2023-07-26 19:40:00,https://mundraub.org/node/116252
MRN_mundraub_4326_Point.107,POINT (8.2701588 49.1667397),116125,Walnuss,Unbekannt,76761,Rülzheim,Mehrere baume,2023-07-22 21:09:00,https://mundraub.org/node/116125
MRN_mundraub_4326_Point.108,POINT (8.279344 49.1671394),116122,Pflaume,Bellheimer Weg,76761,Rülzheim,"Runde gelbe Pflaumen ""reingold""",2023-07-22 20:54:00,https://mundraub.org/node/116122
MRN_mundraub_4326_Point.109,POINT (8.227323 49.1678731),116253,Apfel,Ottersheimer Weg,76863,Herxheim bei Landau/Pfalz,Viele Bäume da,2023-07-26 19:42:00,https://mundraub.org/node/116253
MRN_mundraub_4326_Point.110,POINT (8.2271667 49.1682161),116254,Kirsche,Ottersheimer Weg,76863,Herxheim bei Landau/Pfalz,Am Feldweg entlang diverse kirschen,2023-07-26 19:46:00,https://mundraub.org/node/116254
MRN_mundraub_4326_Point.111,POINT (8.2270273 49.1686104),116256,Birne,Ottersheimer Weg,76863,Herxheim bei Landau/Pfalz,3x,2023-07-26 19:48:00,https://mundraub.org/node/116256
MRN_mundraub_4326_Point.112,POINT (8.2269437 49.1686478),116257,Pflaume,Ottersheimer Weg,76863,Herxheim bei Landau/Pfalz,1x,2023-07-26 19:50:00,https://mundraub.org/node/116257
MRN_mundraub_4326_Point.113,POINT (8.2267006 49.1689687),116258,Birne,Ottersheimer Weg,76863,Herxheim bei Landau/Pfalz,Rote birnen,2023-07-26 19:55:00,https://mundraub.org/node/116258
MRN_mundraub_4326_Point.114,POINT (8.2268199 49.1690757),116259,Birne,Ottersheimer Weg,76863,Herxheim bei Landau/Pfalz,Kleine saftige Birnen leich sauer sehr gut,2023-07-26 19:58:00,https://mundraub.org/node/116259
MRN_mundraub_4326_Point.115,POINT (8.22662 49.1692111),116263,Birne,Ottersheimer Weg,76863,Herxheim bei Landau/Pfalz,1x,2023-07-26 20:01:00,https://mundraub.org/node/116263
MRN_mundraub_4326_Point.116,POINT (8.226567 49.1695064),116267,Birne,Ottersheimer Weg,76863,Herxheim bei Landau/Pfalz,Saftig etwas sauer gesunder top baum,2023-07-26 20:09:00,https://mundraub.org/node/116267
MRN_mundraub_4326_Point.117,POINT (8.2260158 49.1706745),116269,Walnuss,Ottersheimer Weg,76863,Herxheim bei Landau/Pfalz,1x,2023-07-26 20:13:00,https://mundraub.org/node/116269
MRN_mundraub_4326_Point.118,POINT (8.3354845 49.1743903),118115,Apfel,L 552,76771,Rülzheim,Ca 6 baume,2023-09-06 12:59:00,https://mundraub.org/node/118115
MRN_mundraub_4326_Point.119,POINT (8.3350909 49.174413),118114,Walnuss,L 552,76771,Rülzheim,2x,2023-09-06 12:56:00,https://mundraub.org/node/118114
MRN_mundraub_4326_Point.120,POINT (8.3337906 49.1746827),118119,Apfel,L 552,76771,Rülzheim,Zig baume,2023-09-06 13:22:00,https://mundraub.org/node/118119
MRN_mundraub_4326_Point.121,POINT (8.3341354 49.1747317),118120,Walnuss,L 552,76771,Rülzheim,2x,2023-09-06 13:23:00,https://mundraub.org/node/118120
